category,sub_category,title,description,price,image_url
Đồng hồ thông minh,Garmin,Garmin Lily 2 34mm dây silicone,"Màn hình: LCD, 1.00 x 0.84 inch | Theo dõi sức khỏe: Đề xuất thời gian nghỉ ngơi, Đếm số bước chân, Đo nồng độ oxy (SpO2) | Thông báo ứng dụng: Zalo, WhatsApp, Nội dung tin nhắn",6.990.000,https://cdn.tgdd.vn/Products/Images/7077/322839/garmin-lily-2-tim-tb-600x600.jpg
Đồng hồ thông minh,Garmin,Garmin Forerunner 55 42mm dây silicone,"Màn hình: MIP, 1.04 inch | Theo dõi sức khỏe: Đề xuất thời gian nghỉ ngơi, Đếm số bước chân, Đo nhịp tim | Chế độ luyện tập: Đạp xe, Đi bộ, Yoga | Thông báo ứng dụng: Zalo, Viber, Nội dung tin nhắn",4.500.000,https://cdn.tgdd.vn/Products/Images/7077/244296/garmin-forerunner-55-day-silicone-xam-tn-600x600.jpg
Đồng hồ thông minh,Garmin,Garmin Vivoactive 5 42.2mm dây silicone,"Màn hình: AMOLED, 1.2 inch | Theo dõi sức khỏe: Đề xuất thời gian nghỉ ngơi, Đếm số bước chân, Đánh giá chỉ số trẻ hóa của cơ thể (Fitness Age) | Thông báo ứng dụng: Zalo, Viber, Tin nhắn",7.870.000,https://cdn.tgdd.vn/Products/Images/7077/315897/garmin-vivoactive-5-day-silicone-4-600x600.jpg
Đồng hồ thông minh,Garmin,Garmin Venu SQ 2 Music 40.6mm dây silicone,"Màn hình: AMOLED, 1.41 inch | Theo dõi sức khỏe: Đếm số bước chân, Đo nồng độ oxy (SpO2), Đo nhịp tim | Chế độ luyện tập: Đạp xe, Đi bộ, Yoga | Thông báo ứng dụng: Zalo, Viber, Nội dung tin nhắn",7.300.000,https://cdn.tgdd.vn/Products/Images/7077/289984/garmin-venu-sq-2-music-kem-tn-2-600x600.jpg
Đồng hồ thông minh,Garmin,Garmin Epix Pro Gen 2 Titanium 47mm dây silicone,"Màn hình: AMOLED, 1.3 inch | Theo dõi sức khỏe: Đề xuất thời gian nghỉ ngơi, Đếm số bước chân, Đánh giá chỉ số trẻ hóa của cơ thể (Fitness Age) | Thông báo ứng dụng: Viber, Tin nhắn, Messenger (Facebook)",24.690.000,https://cdn.tgdd.vn/Products/Images/7077/308485/garmin-epix-pro-gen-2-tb-fix-1-600x600.jpg
Đồng hồ thông minh,Garmin,Garmin Fenix 7X Pro Solar Titanium 51mm dây silicone,"Màn hình: MIP, 1.4 inch | Theo dõi sức khỏe: Đề xuất thời gian nghỉ ngơi, Đếm số bước chân, Đánh giá chỉ số trẻ hóa của cơ thể (Fitness Age) | Chế độ luyện tập: Đạp xe, Đi bộ đường dài, Đi bộ | Thông báo ứng dụng: Viber, Tin nhắn, Messenger (Facebook)",24.690.000,https://cdn.tgdd.vn/Products/Images/7077/308517/garmin-fenix-7x-pro-solar-titanium-xam-tb-1-600x600.jpg
Đồng hồ thông minh,Garmin,Garmin Fenix 7 Pro Solar Titanium 47 mm dây silicone,"Màn hình: MIP, 1.3 inch | Theo dõi sức khỏe: Đề xuất thời gian nghỉ ngơi, Đếm số bước chân, Đánh giá chỉ số trẻ hóa của cơ thể (Fitness Age) | Chế độ luyện tập: Đạp xe, Đi bộ đường dài, Đi bộ | Thông báo ứng dụng: Viber, Tin nhắn, Messenger (Facebook)",22.310.000,https://cdn.tgdd.vn/Products/Images/7077/308516/garmin-fenix-7-pro-solar-titanium-tb-1-600x600.jpg
Đồng hồ thông minh,Garmin,Garmin Fenix 7X Solar Titanium 51mm dây silicone,"Màn hình: MIP, 1.4 inch | Theo dõi sức khỏe: Đếm số bước chân, Đo nồng độ oxy (SpO2), Đo lượng tiêu thụ oxy tối đa (VO2 Max) | Chế độ luyện tập: Đạp xe, Đi bộ đường dài, Đi bộ | Thông báo ứng dụng: Viber, Tin nhắn, Messenger (Facebook)",17.990.000,https://cdn.tgdd.vn/Products/Images/7077/283716/garmin-fenix-7x-solar-titanium-xam-tn-2-600x600.jpg
Đồng hồ thông minh,Garmin,Garmin Golf Approach S70 47mm dây silicone,"Màn hình: AMOLED, 1.4 inch | Theo dõi sức khỏe: Đếm số bước chân, Đo nồng độ oxy (SpO2), Đo nhịp tim | Chế độ luyện tập: Đạp xe, Trượt tuyết, Golf | Thông báo ứng dụng: Zalo, Viber, Nội dung tin nhắn",17.370.000,https://cdn.tgdd.vn/Products/Images/7077/308291/garmin-golf-approach-s70-day-silicone-tb-1-600x600.jpg
Đồng hồ thông minh,Garmin,Garmin Forerunner 965 47.2mm dây silicone,"Màn hình: AMOLED, 1.4 inch | Theo dõi sức khỏe: Đếm số bước chân, Đánh giá chỉ số trẻ hóa của cơ thể (Fitness Age), Đo nồng độ oxy (SpO2) | Thông báo ứng dụng: Zalo, Tin nhắn, Messenger (Facebook)",15.660.000,https://cdn.tgdd.vn/Products/Images/7077/305881/garmin-forerunner-965-vang-thumb-600x600.jpg
