category,sub_category,title,description,price,image_url
Máy tính xách tay,Asus,Asus Vivobook 15 X1504VA i7 1355U (NJ023W),"Màn hình: 15.6"", Full HD/Full HD+ | CPU: i7, 1355U, 1.7GHz | Card: Intel Iris Xe | Pin: 3-cell, 42Wh | Khối lượng: 1.7 kg",18.990.000,https://cdn.tgdd.vn/Products/Images/44/305009/asus-vivobook-15-x1504va-nj023w-thumb-600x600.jpg
Máy tính xách tay,Asus,Asus TUF Gaming F15 FX507VU i7 13620H (LP167W),"Màn hình: 15.6"", Full HD/Full HD+, 144Hz | CPU: i7, 13620H, 2.4GHz | Card: RTX 4050 6GB | Pin: 4-cell, 90Wh | Khối lượng: 2.2 kg",28.490.000,https://cdn.tgdd.vn/Products/Images/44/320434/asus-tuf-gaming-f15-fx507vu-i7-lp167w-thumb-600x600.jpg
Máy tính xách tay,Asus,Asus Vivobook 15 OLED A1505VA i7 13700H (L1338W),"Màn hình: 15.6"", Full HD/Full HD+ | CPU: i7, 13700H, 2.4GHz | Card: Intel Iris Xe | Pin: 3-cell, 50Wh | Khối lượng: 1.7 kg",20.490.000,https://cdn.tgdd.vn/Products/Images/44/311179/asus-vivobook-15-oled-a1505va-i7-l1338w-thumb-600x600.jpg
Máy tính xách tay,Asus,Asus Vivobook X415EA i3 1115G4 (EK2034W),"Màn hình: 14"", Full HD/Full HD+ | CPU: i3, 1115G4, 3GHz | Card: Intel UHD | Pin: 2-cell, 37Wh | Khối lượng: 1.55 kg",8.990.000,https://cdn.tgdd.vn/Products/Images/44/304866/asus-vivobook-x415ea-i3-ek2034w-thumb-laptop-600x600.jpg
Máy tính xách tay,Acer,Acer Aspire Lite 15 51M 5542 i5 1155G7 (NX.KS5SV.001),"Màn hình: 15.6"", Full HD/Full HD+ | CPU: i5, 1155G7, 2.5GHz | Card: Intel Iris Xe | Pin: 36Wh | Khối lượng: 1.7 kg",12.290.000,https://cdn.tgdd.vn/Products/Images/44/320870/acer-aspire-lite-15-51m-5542-i5-nxks5sv001-thumb-2-600x600.jpg
Máy tính xách tay,Acer,Acer Gaming Aspire 5 A515 58GM 51LB i5 13420H (NX.KQ4SV.002),"Màn hình: 15.6"", Full HD/Full HD+ | CPU: i5, 13420H, 2.1GHz | Card: RTX 2050 4GB | Pin: 3-cell, 50Wh | Khối lượng: 1.7 kg",16.990.000,https://cdn.tgdd.vn/Products/Images/44/314630/acer-aspire-5-a515-58gm-51lb-i5-nxkq4sv002-170923-015941-600x600.jpg
Máy tính xách tay,Acer,Acer Aspire 3 A315 510P 32EF i3 N305 (NX.KDHSV.001),"Màn hình: 15.6"", Full HD/Full HD+ | CPU: i3 chuỗi N, N305 | Card: Intel UHD | Pin: 40 Wh | Khối lượng: 1.7 kg",8.790.000,https://cdn.tgdd.vn/Products/Images/44/310282/acer-aspire-3-a315-510p-32ef-i3-nxkdhsv001-thumb-600x600.jpg
Máy tính xách tay,Acer,Acer Aspire Lite 15 51M 55NB i5 1155G7 (NX.KRSSV.001),"Màn hình: 15.6"", Full HD/Full HD+ | CPU: i5, 1155G7, 2.5GHz | Card: Intel Iris Xe | Pin: 36Wh | Khối lượng: 1.7 kg",11.490.000,https://cdn.tgdd.vn/Products/Images/44/324735/acer-aspire-lite-15-51m-55nb-i5-nxkrssv001-thumb-600x600.jpg
Máy tính xách tay,Acer,Acer Gaming Nitro 5 Tiger AN515 58 769J i7 12700H (NH.QFHSV.003),"Màn hình: 15.6"", Full HD/Full HD+, 144Hz | CPU: i7, 12700H, 2.30 GHz | Card: RTX 3050 4GB | Pin: 4-cell, 57.5Wh | Khối lượng: 2.5 kg",21.990.000,https://cdn.tgdd.vn/Products/Images/44/313332/acer-nitro-5-an515-58-769j-i7-nhqfhsv003-thumb-600x600.jpg
Máy tính xách tay,Acer,Acer Aspire 3 A315 44P R9W8 R7 5700U (NX.KSJSV.002),"Màn hình: 15.6"", Full HD/Full HD+ | CPU: Ryzen 7, 5700U, 1.8GHz | Card: Radeon | Pin: 3-cell, 50Wh | Khối lượng: 1.7 kg",11.490.000,https://cdn.tgdd.vn/Products/Images/44/321436/acer-aspire-a315-44p-r9w8-r7-nxksjsv002-thumb-600x600.jpg
Máy tính xách tay,Acer,Acer Gaming Aspire 7 A715 43G R8GA R5 5625U (NH.QHDSV.002),"Màn hình: 15.6"", Full HD/Full HD+, 144Hz | CPU: Ryzen 5, 5625U, 2.30 GHz | Card: RTX 3050 4GB | Pin: 3-cell, 50Wh | Khối lượng: 2.1 kg",15.990.000,https://cdn.tgdd.vn/Products/Images/44/285961/acer-aspire-7-gaming-a715-43g-r8ga-r5-nhqhdsv002-thumb-600x600.jpg
